id_reservation,price,nbr_reservations,nbr_visitors,marketing_spend,market_count,reservation_status,event_type,event_date,category_name,city,country,rating,trend_score,growth_rate_pct,capacity_min,capacity_max,venue_type
17183,8177.0,252,1608,15000.0,7.0,pending,Birthday,2025-03-28,Wedding,Jendouba,Tunisie,2,0.0,0.0,100.0,200.0,Hotel
16985,13333.0,126,4896,21000.0,0.0,confirmed,Corporate Event,2023-03-17,Birthday,Sidi Bouzid,Tunisie,5,0.0,0.0,200.0,400.0,Venues de mariage privées
4946,13130.0,176,3661,23000.0,10.0,pending,Corporate Event,2025-07-15,Birthday,Sfax,Tunisie,5,0.0,0.0,200.0,500.0,Hotel
17109,4276.0,229,3480,13000.0,20.0,confirmed,Birthday,2022-01-31,Wedding,Tunis,Tunisie,3,0.0,0.0,300.0,500.0,Hotel
10751,8194.0,298,962,22000.0,10.0,pending,Birthday,2023-02-12,Birthday,Nabeul,Tunisie,4,0.0,0.0,300.0,500.0,Venues de mariage privées
1854,7702.0,203,1258,22000.0,0.0,cancelled,Wedding,2025-08-01,Birthday,Sousse,Tunisie,1,0.0,0.0,300.0,500.0,Venues de mariage privées
16284,3153.0,155,66,22000.0,3.0,pending,Wedding,2024-11-27,Corporate,Sfax,Tunisie,5,0.0,0.0,200.0,500.0,Hotel
3986,14672.0,229,3480,20000.0,1.0,cancelled,Birthday,2024-10-23,Wedding,Tataouine,Tunisie,4,0.0,0.0,100.0,200.0,Hotel
4389,12966.0,239,4101,15000.0,1.0,pending,Corporate Event,2022-06-10,Wedding,Tataouine,Tunisie,4,0.0,0.0,100.0,200.0,Hotel
14852,2080.0,203,1417,19000.0,7.0,cancelled,Birthday,2025-07-18,Corporate,Zaghouan,Tunisie,1,0.0,0.0,100.0,200.0,Hotel
5611,13361.0,203,1417,25000.0,20.0,pending,Corporate Event,2025-09-21,Wedding,Manouba,Tunisie,2,0.0,0.0,200.0,400.0,Venues de mariage privées
6101,7046.0,202,1983,25000.0,20.0,pending,Birthday,2025-12-13,Wedding,Manouba,Tunisie,5,0.0,0.0,200.0,400.0,Venues de mariage privées
17684,2693.0,298,962,21000.0,7.0,cancelled,Corporate Event,2022-10-07,Wedding,Nabeul,Tunisie,1,0.0,0.0,300.0,500.0,Venues de mariage privées
250,6792.0,126,4896,23000.0,0.0,pending,Corporate Event,2022-09-05,Birthday,Ariana,Tunisie,2,0.0,0.0,200.0,400.0,Venues de mariage privées
11661,7190.0,249,22215,24000.0,7.0,confirmed,Wedding,2022-12-14,Wedding,Nabeul,Tunisie,4,0.0,0.0,300.0,500.0,Venues de mariage privées
10846,12929.0,252,1608,26000.0,0.0,pending,Wedding,2025-07-15,Birthday,Mahdia,Tunisie,1,0.0,0.0,200.0,400.0,Venues de mariage privées
6430,10233.0,252,1608,13000.0,3.0,cancelled,Birthday,2023-03-23,Wedding,Monastir,Tunisie,5,0.0,0.0,200.0,500.0,Hotel
4489,4030.0,252,1608,13000.0,0.0,cancelled,Wedding,2025-01-07,Wedding,Kasserine,Tunisie,3,0.0,0.0,200.0,400.0,Venues de mariage privées
