id_reservation,price,nbr_reservations,nbr_visitors,marketing_spend,market_count,reservation_status,event_type,event_date,category_name,city,country,rating,trend_score,growth_rate_pct,capacity_min,capacity_max,venue_type
2633,8478.0,155,66,24000.0,4,pending,Birthday,2025-03-14,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
12316,2987.0,229,3480,21000.0,20,cancelled,Wedding,2025-04-08,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
7065,10586.0,229,3480,21000.0,20,pending,Corporate Event,2025-06-28,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
16182,3214.0,42,3577,24000.0,4,cancelled,Corporate Event,2023-08-04,Corporate,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
2154,3353.0,203,1258,20000.0,0,pending,Corporate Event,2023-10-15,Birthday,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
16295,8178.0,203,1417,22000.0,0,confirmed,Birthday,2025-02-10,Birthday,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
15781,11257.0,249,22215,13000.0,4,cancelled,Wedding,2023-04-01,Corporate,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
15032,11715.0,249,22215,25000.0,20,pending,Wedding,2024-02-15,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
5893,11195.0,126,4896,24000.0,20,pending,Birthday,2025-04-27,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
7610,3396.0,176,3661,21000.0,20,confirmed,Corporate Event,2023-09-24,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
13632,4335.0,239,4101,26000.0,20,cancelled,Corporate Event,2024-01-29,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
249,4400.0,176,3661,17000.0,20,pending,Birthday,2024-05-13,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
7531,14270.0,203,1417,12000.0,4,confirmed,Wedding,2025-06-20,Corporate,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
17950,1892.0,203,1417,26000.0,20,pending,Wedding,2023-07-22,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
2672,9936.0,249,22215,23000.0,20,confirmed,Wedding,2025-10-24,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
17799,13438.0,239,4101,21000.0,20,confirmed,Corporate Event,2023-05-27,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
5979,13026.0,126,4896,21000.0,20,cancelled,Corporate Event,2023-12-12,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
6552,2213.0,249,22215,23000.0,20,pending,Birthday,2023-09-20,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
1449,2751.0,249,22215,21000.0,20,pending,Corporate Event,2024-12-06,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
5097,12933.0,155,66,21000.0,20,confirmed,Corporate Event,2023-07-05,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
17251,6653.0,229,3480,26000.0,20,confirmed,Birthday,2024-08-25,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
9632,8749.0,203,1258,25000.0,0,confirmed,Birthday,2023-03-05,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
11565,10049.0,155,66,22000.0,20,cancelled,Corporate Event,2025-12-18,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
7183,8202.0,203,1258,21000.0,4,pending,Corporate Event,2024-10-12,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
13141,12432.0,176,3661,24000.0,4,confirmed,Wedding,2023-11-27,Corporate,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
10184,14630.0,155,66,26000.0,20,cancelled,Corporate Event,2024-04-07,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
7640,210.0,203,1417,19000.0,0,pending,Wedding,2025-01-09,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
2579,2550.0,229,3480,24000.0,0,cancelled,Wedding,2024-12-21,Birthday,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
15874,4148.0,42,3577,13000.0,4,confirmed,Corporate Event,2024-07-11,Corporate,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
460,6473.0,229,3480,19000.0,20,cancelled,Wedding,2023-03-24,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
11893,9794.0,203,1258,26000.0,20,confirmed,Birthday,2023-01-13,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
7190,14725.0,176,3661,13000.0,20,pending,Corporate Event,2024-04-24,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
4408,13901.0,203,1258,13000.0,20,cancelled,Wedding,2025-01-20,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
13446,6036.0,203,1258,17000.0,20,pending,Corporate Event,2025-12-23,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
16142,8082.0,176,3661,26000.0,0,confirmed,Wedding,2025-04-10,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
6079,5635.0,298,962,25000.0,20,confirmed,Birthday,2023-08-27,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
12203,13141.0,298,962,19000.0,4,cancelled,Birthday,2023-04-14,Corporate,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
7006,122120.0,239,4101,26000.0,0,confirmed,Corporate Event,2025-07-05,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
13148,9253.0,298,962,21000.0,20,cancelled,Wedding,2022-04-05,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
12139,12022.0,249,22215,24000.0,0,cancelled,Birthday,2023-03-18,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
5165,2010.0,252,1608,20000.0,0,cancelled,Birthday,2023-02-28,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
5256,5144.0,239,4101,19000.0,20,pending,Birthday,2025-04-11,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
12804,3157.0,298,962,20000.0,0,pending,Birthday,2025-07-09,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
16076,12242.0,202,1983,21000.0,4,cancelled,Wedding,2025-08-11,Corporate,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
17981,2079.0,203,1258,12000.0,0,cancelled,Birthday,2025-05-29,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
11199,7908.0,202,1983,20000.0,4,confirmed,Wedding,2022-01-03,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
10000,1664.0,249,22215,17000.0,20,pending,Wedding,2023-05-28,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
2027,1015.0,239,4101,22000.0,4,cancelled,Corporate Event,2025-12-23,Corporate,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
43,7896.0,42,3577,19000.0,20,pending,Birthday,2024-03-02,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
4031,6276.0,298,962,21000.0,20,cancelled,Corporate Event,2023-05-06,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
10138,8017.0,203,1258,26000.0,0,cancelled,Birthday,2022-08-26,Birthday,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
4927,11458.0,176,3661,22000.0,20,pending,Corporate Event,2024-08-30,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
2921,6772.0,239,4101,20000.0,20,pending,Birthday,2023-02-24,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
12829,4935.0,229,3480,25000.0,20,cancelled,Corporate Event,2024-12-11,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
1556,2515.0,229,3480,26000.0,20,pending,Birthday,2024-06-18,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
3501,2243.0,252,1608,23000.0,0,cancelled,Wedding,2022-08-03,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
16341,700.0,176,3661,15000.0,0,confirmed,Birthday,2024-11-10,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
7204,13049.0,42,3577,19000.0,20,pending,Corporate Event,2023-10-28,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
11385,3249.0,42,3577,19000.0,4,pending,Corporate Event,2023-09-06,Corporate,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
6334,3828.0,239,4101,22000.0,4,pending,Wedding,2023-08-16,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
4122,7294.0,126,4896,17000.0,20,cancelled,Wedding,2023-04-11,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
15374,9311.0,203,1417,19000.0,20,cancelled,Corporate Event,2022-03-12,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
10985,14441.0,239,4101,17000.0,4,cancelled,Corporate Event,2022-11-13,Corporate,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
3260,9040.0,176,3661,21000.0,0,confirmed,Birthday,2025-05-18,Birthday,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
10003,7880.0,298,962,20000.0,0,pending,Wedding,2023-10-08,Birthday,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
15939,5740.0,252,1608,20000.0,4,cancelled,Wedding,2024-08-20,Corporate,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
14903,9775.0,176,3661,24000.0,20,confirmed,Corporate Event,2022-05-12,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
11319,333.0,203,1417,12000.0,4,pending,Corporate Event,2024-11-08,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
15168,5772.0,203,1258,17000.0,20,confirmed,Wedding,2024-09-24,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
10277,10306.0,176,3661,15000.0,20,pending,Birthday,2022-11-25,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
3743,11789.0,42,3577,20000.0,20,confirmed,Birthday,2025-07-30,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
13715,5294.0,203,1258,12000.0,0,cancelled,Corporate Event,2023-02-13,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
6706,10738.0,203,1417,19000.0,20,confirmed,Birthday,2024-04-02,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
14883,734.0,203,1417,15000.0,20,cancelled,Birthday,2025-02-26,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
2965,1449.0,126,4896,22000.0,20,pending,Birthday,2024-11-03,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
5850,744.0,42,3577,20000.0,20,confirmed,Wedding,2023-12-18,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
2830,13103.0,203,1258,15000.0,4,pending,Corporate Event,2024-01-18,Corporate,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
12630,8508.0,252,1608,26000.0,20,pending,Wedding,2024-11-30,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
1374,3292.0,249,22215,21000.0,20,confirmed,Wedding,2023-09-05,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
7968,12428.0,42,3577,19000.0,20,pending,Wedding,2022-11-09,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
9552,3449.0,202,1983,15000.0,20,pending,Wedding,2023-08-05,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
6847,5989.0,298,962,25000.0,20,pending,Wedding,2025-11-15,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
16870,3580.0,249,22215,25000.0,20,confirmed,Wedding,2023-10-06,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
14220,12292.0,176,3661,17000.0,0,pending,Corporate Event,2023-09-08,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
4069,3449.0,249,22215,25000.0,20,confirmed,Corporate Event,2022-02-06,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
9332,2282.0,176,3661,20000.0,20,cancelled,Wedding,2022-07-05,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
8263,9619.0,155,66,24000.0,20,confirmed,Birthday,2022-05-12,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
3932,14145.0,176,3661,17000.0,20,cancelled,Wedding,2023-04-27,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
10045,3428.0,239,4101,25000.0,0,cancelled,Birthday,2025-11-30,Birthday,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
17632,2208.0,249,22215,22000.0,0,pending,Birthday,2023-07-20,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
11063,2889.0,229,3480,13000.0,20,pending,Wedding,2023-08-05,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
1946,3600.0,42,3577,17000.0,20,pending,Wedding,2025-11-02,Wedding,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
15460,8742.0,252,1608,25000.0,20,confirmed,Birthday,2024-11-01,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
14017,12886.0,229,3480,12000.0,0,cancelled,Birthday,2025-07-16,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
17734,8945.0,155,66,21000.0,4,pending,Corporate Event,2023-02-25,Corporate,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
4295,7986.0,202,1983,26000.0,20,cancelled,Corporate Event,2022-02-01,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
7751,5422.0,239,4101,15000.0,20,cancelled,Wedding,2025-08-26,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
10417,13889.0,239,4101,25000.0,4,cancelled,Wedding,2022-04-15,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
207,12213.0,203,1258,15000.0,20,pending,Birthday,2023-08-11,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
7828,4215.0,126,4896,19000.0,20,cancelled,Wedding,2024-07-15,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
12201,9276.0,229,3480,20000.0,4,confirmed,Wedding,2025-10-16,Corporate,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
7796,3965.0,202,1983,19000.0,20,pending,Wedding,2024-04-26,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
10284,6442.0,249,22215,25000.0,20,confirmed,Birthday,2022-07-11,Wedding,Tunis,Tunisie,5,0.0,0.0,300,500,Hotel
3855,3631.0,252,1608,23000.0,0,cancelled,Wedding,2023-04-07,Birthday,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
5481,553.0,42,3577,15000.0,20,cancelled,Wedding,2025-05-01,Wedding,Tunis,Tunisie,2,0.0,0.0,300,500,Hotel
7201,10282.0,155,66,22000.0,20,pending,Birthday,2023-09-01,Wedding,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
3361,8208.0,155,66,17000.0,0,cancelled,Wedding,2024-01-25,Birthday,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
11919,93440.0,202,1983,13000.0,4,cancelled,Birthday,2023-08-17,Corporate,Tunis,Tunisie,1,0.0,0.0,300,500,Hotel
15800,1222.0,176,3661,20000.0,20,confirmed,Birthday,2024-04-15,Wedding,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
2747,12135.0,229,3480,26000.0,4,pending,Corporate Event,2023-06-18,Corporate,Tunis,Tunisie,3,0.0,0.0,300,500,Hotel
9794,6163.0,252,1608,20000.0,4,pending,Corporate Event,2024-05-05,Corporate,Tunis,Tunisie,4,0.0,0.0,300,500,Hotel
