id_reservation,price,nbr_reservations,nbr_visitors,marketing_spend,market_count,reservation_status,event_title,event_type,event_date,category_name,city,country,rating,comment,trend_score,growth_rate_pct,capacity_min,capacity_max,venue_type,entertainer_name,entertainer_category,nationality,followers_instagram,followers_tiktok,entertainer_price
2633,8478.0,155,66,24000.0,4,pending,Role attention air.,Birthday,2025-03-14,Corporate,Tunis,Tunisie,1,Through participant human sea wonder visit.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
12316,2987.0,229,3480,21000.0,20,cancelled,Size day exactly.,Wedding,2025-04-08,Wedding,Tunis,Tunisie,3,NaN,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7065,10586.0,229,3480,21000.0,20,pending,Face standard.,Corporate Event,2025-06-28,Wedding,Tunis,Tunisie,1,Girl pretty agency worry care more.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
16182,3214.0,42,3577,24000.0,4,cancelled,Game statement peace.,Corporate Event,2023-08-04,Corporate,Tunis,Tunisie,2,Piece listen drive.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
2154,3353.0,203,1258,20000.0,0,pending,Away yeah tree.,Corporate Event,2023-10-15,Birthday,Tunis,Tunisie,3,Yard several better blood air serious.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
16295,8178.0,203,1417,22000.0,0,confirmed,Six pretty.,Birthday,2025-02-10,Birthday,Tunis,Tunisie,5,Part able exist against usually.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
15781,11257.0,249,22215,13000.0,4,cancelled,Former wonder.,Wedding,2023-04-01,Corporate,Tunis,Tunisie,3,Whether skin these.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
15032,11715.0,249,22215,25000.0,20,pending,Financial room.,Wedding,2024-02-15,Wedding,Tunis,Tunisie,2,Tree goal wait to good performance.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
5893,11195.0,126,4896,24000.0,20,pending,Church everything attorney.,Birthday,2025-04-27,Wedding,Tunis,Tunisie,3,Street whatever increase including company allow.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7610,3396.0,176,3661,21000.0,20,confirmed,Door town our.,Corporate Event,2023-09-24,Wedding,Tunis,Tunisie,4,Summer establish light even stay.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
13632,4335.0,239,4101,26000.0,20,cancelled,Woman ask serve others.,Corporate Event,2024-01-29,Wedding,Tunis,Tunisie,2,Check perform information.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
249,4400.0,176,3661,17000.0,20,pending,Common.,Birthday,2024-05-13,Wedding,Tunis,Tunisie,3,Middle behavior network arrive organization.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7531,14270.0,203,1417,12000.0,4,confirmed,Explain address challenge lot.,Wedding,2025-06-20,Corporate,Tunis,Tunisie,4,Field state case support laugh.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
17950,1892.0,203,1417,26000.0,20,pending,Face mouth.,Wedding,2023-07-22,Wedding,Tunis,Tunisie,2,Number on meeting camera bar.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
2672,9936.0,249,22215,23000.0,20,confirmed,Require front thought.,Wedding,2025-10-24,Wedding,Tunis,Tunisie,5,No positive next service group heart develop.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
17799,13438.0,239,4101,21000.0,20,confirmed,Last certainly.,Corporate Event,2023-05-27,Wedding,Tunis,Tunisie,3,NaN,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
5979,13026.0,126,4896,21000.0,20,cancelled,Suggest president.,Corporate Event,2023-12-12,Wedding,Tunis,Tunisie,5,Sometimes rather action clearly save something so financial.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
6552,2213.0,249,22215,23000.0,20,pending,Pretty fish common.,Birthday,2023-09-20,Wedding,Tunis,Tunisie,1,Bank left phone.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
1449,2751.0,249,22215,21000.0,20,pending,Yet.,Corporate Event,2024-12-06,Wedding,Tunis,Tunisie,5,Blood personal style choose.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
5097,12933.0,155,66,21000.0,20,confirmed,Issue this.,Corporate Event,2023-07-05,Wedding,Tunis,Tunisie,4,Stay cut senior unit however television foreign.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
17251,6653.0,229,3480,26000.0,20,confirmed,Popular group.,Birthday,2024-08-25,Wedding,Tunis,Tunisie,5,Wall tree shake night yourself.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
9632,8749.0,203,1258,25000.0,0,confirmed,Break agree true.,Birthday,2023-03-05,Birthday,Tunis,Tunisie,2,Culture spend create.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
11565,10049.0,155,66,22000.0,20,cancelled,Forward live.,Corporate Event,2025-12-18,Wedding,Tunis,Tunisie,4,Run friend up.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7183,8202.0,203,1258,21000.0,4,pending,Technology allow.,Corporate Event,2024-10-12,Corporate,Tunis,Tunisie,1,News road notice ground appear.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
13141,12432.0,176,3661,24000.0,4,confirmed,Although month.,Wedding,2023-11-27,Corporate,Tunis,Tunisie,3,South any population return finish those affect.,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
10184,14630.0,155,66,26000.0,20,cancelled,Direction challenge my.,Corporate Event,2024-04-07,Wedding,Tunis,Tunisie,1,Beautiful case nice game body.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7640,210.0,203,1417,19000.0,0,pending,Song leader.,Wedding,2025-01-09,Birthday,Tunis,Tunisie,2,Anything suffer everybody pattern.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
2579,2550.0,229,3480,24000.0,0,cancelled,Short last.,Wedding,2024-12-21,Birthday,Tunis,Tunisie,4,Level best dark play free only.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
15874,4148.0,42,3577,13000.0,4,confirmed,Generation however culture.,Corporate Event,2024-07-11,Corporate,Tunis,Tunisie,2,NaN,0.0,0.0,300,500,Hotel,Marambenazizaofficial,"Actors, TV Host",Tunisian,2600000,40600,25000
460,6473.0,229,3480,19000.0,20,cancelled,Smile everything.,Wedding,2023-03-24,Wedding,Tunis,Tunisie,3,Protect character notice because.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
11893,9794.0,203,1258,26000.0,20,confirmed,Market cultural.,Birthday,2023-01-13,Wedding,Tunis,Tunisie,3,Seem experience commercial back condition staff.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
7190,14725.0,176,3661,13000.0,20,pending,After such certain likely.,Corporate Event,2024-04-24,Wedding,Tunis,Tunisie,1,Real explain central common meet.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
4408,13901.0,203,1258,13000.0,20,cancelled,Financial better family.,Wedding,2025-01-20,Wedding,Tunis,Tunisie,1,Else action impact cover fly truth.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
13446,6036.0,203,1258,17000.0,20,pending,Senior create.,Corporate Event,2025-12-23,Wedding,Tunis,Tunisie,3,Save wait to write need.,0.0,0.0,300,500,Hotel,Ghadamaatouk,"Singer, Actors",Tunisian,765800,64700,6000
16142,8082.0,176,3661,26000.0,0,confirmed,Of bad high.,Wedding,2025-04-10,Birthday,Tunis,Tunisie,2,Budget little set environmental adult.,0.0,0.0,300,500,Hotel,Mehdi r2m officiel,Singer,Tunisian,0,0,60
